vin|streetName|vehicleMake|reportedDate
3XBFS54UMPX582162|WAIAWA RD|peugot|6/16/2015
3UUVT39LFZG703937|MALAHUNA LP|alfa-romero|12/31/2012
5FVMB16WWPO461803|KAIPOI ST|volvo|8/22/2016
1RZMZ89YOYF979466|EMERSON ST|mazda|3/26/2016
4INRG66NISC661143|KANAINA AVE|subaru|2/22/2012
4AJDX59XRCU828048|MAUNALEI AVE|mitsubishi|5/22/2011
1WOAA40XHCV442203|WILIWILI ST|renault|9/21/2016
4UMPO29BNAC797473|EUGENE PL|dodge|3/5/2016
1BUQA5GOVY231714|KUPAU ST|mercury|9/23/2016
5BYMN80BSWF520280|KUPAU ST|volkswagen|5/5/2014
5UDJS95WXKP296357|KA HANAHOU CIR|jaguar|7/3/2013
3ALOA80STBO526625|POLINA PL|peugot|12/30/2017
4JFFL94HOPD313028|KEAKA DR|toyota|6/20/2016
4TBRW99UUAE264191|MEHANI ST|bmw|3/26/2013
5BFNO71BMAQ397751|HAWAII KAI DR|bmw|3/11/2016
5VBRH89XWEK664738|COOLIDGE ST|mercedes-benz|2/11/2011
1MTTY27UKGS502462|LEONUI ST|volkswagen|12/17/2015
1PXEL69XULM443613|KAMANI ST|toyota|1/14/2012
2PFXB57HZDB726392|HALEKOA DR|alfa-romero|7/5/2013
4IMRS51WNGJ249726|KINA ST|plymouth|8/20/2014
3AAUY52AJQX563826|KINA ST|volkswagen|2/3/2011
2FKYK96QQCF826216|KINA ST|isuzu|12/1/2015
4SHRH62VFMT385286|KINA ST|isuzu|8/14/2015
4CYHE64CYDN751212|KEALIIAHONUI ST|toyota|2/12/2014
4TGIC47XBWE176365|MIKIOLA DR|mercedes-benz|5/14/2017
5RCFZ56HMMB254608|NIOLOPA PL|jaguar|1/18/2014
1MJFE62XKGI479701|HOKUUKALI ST|isuzu|4/24/2012
5QPIL77TJHT338853|FRANK ST|toyota|2/15/2014
4EWJG86QECS612347|KAHEA ST|dodge|2/11/2014
4FOZI50XXDE967126|HOKUUKALI ST|mercedes-benz|2/18/2017
5RCMZ3LNVL395165|AUIKI ST|audi|1/29/2012
3MYRY24RJXD253627|MCNEILL ST|isuzu|11/5/2015
5ZNTX41LBPJ480513|KAHANALEI ST|subaru|3/6/2012
2PAVE93SCMP506190|COLBURN ST|jaguar|7/14/2013
3JMAI56ZPZA762871|HUINA ST|peugot|1/10/2012
4MCBI95OOHA61747|PILIMAI ST|toyota|2/21/2015
4JYWK71RSVN287973|KULAAUPUNI ST|jaguar|9/22/2016
4GNJJ50PWUD879351|11TH AVE|bmw|1/9/2016
2BVZJ41APIL585903|MAHINUI RD|mazda|7/13/2015
4XXGM56WIZZ427126|HOOKEHA ST|audi|11/20/2016
5TSQC12KZSO735831|KAPAHULU AVE|jaguar|3/26/2011
5XGUI24QYQJ632796|NOHOPAA ST|alfa-romero|9/11/2016
1UYZJ49IVHT921781|KALEO PL|renault|11/3/2015
2HYYV27EOWD907897|MAKIKI ST|chevrolet|10/18/2014
4HLAM8UXYH989701|MAKIKI ST|mazda|11/30/2016
3DQST33TMMZ516415|KEANU ST|volvo|2/26/2013
3CQTT53BOIT20882|HONEHONE ST|nissan|3/20/2017
3UPEL26ZBYJ386213|OKUPE ST|mazda|2/9/2017
4LFRM87ITJC574672|LIKINI ST|mercury|8/14/2017
1UQIT66EVRH25185|KANIAHE ST|nissan|10/24/2017
4FYBE8SPUB53069|LIKINI ST|mazda|8/2/2015
2GNJT90EJBT593443|PROSPECT ST|mitsubishi|1/2/2011
5NQGB59LDBH837569|PROSPECT ST|jaguar|11/5/2017
5FIDU70HCBS648813|LIKINI ST|chevrolet|10/6/2016
3KLOQ87QKHY104502|LIKINI ST|volvo|6/11/2011
3XFEF57YUEJ692128|PROSPECT ST|volkswagen|7/18/2017
3UIJG10JYJE570230|PROSPECT ST|toyota|5/21/2015
1IHBJ12PNCI623006|KAPALAMA AVE|peugot|7/10/2013
3DRPO6KTFV896956|KAMANI ST|volkswagen|11/14/2016
5YPRG63BIKS107309|KAPALAMA AVE|alfa-romero|2/5/2016
4HXIZ74HUQT431661|WAUKE ST|mercury|1/29/2017
4TRMI63TTXN370765|KALUAMOI PL|isuzu|8/6/2013
3XYNX98OHBI573860|PILI PL|renault|1/23/2013
3FGSH32PRCP437889|PILI PL|toyota|8/6/2017
1TGWO38TXUP913211|PAULA DR|audi|4/6/2013
1YKWL96RELS492268|PAULA DR|plymouth|8/30/2015
1ULZH71JCJJ250729|KUMUNIU ST|alfa-romero|10/25/2016
5OPCX7ITWB483446|KUMUNIU ST|dodge|12/8/2013
5OFHT76OHEN311012|NAHIKU PL|subaru|3/17/2012
2IDZR18JADE221447|POKI ST|alfa-romero|1/20/2012
3OTBC13AABX13059|MYRTLE ST|volkswagen|5/23/2012
5DAJB43HBBI412690|MYRTLE ST|nissan|12/10/2017
4DYUW62HDXA216393|PETER ST|porsche|7/5/2014
3UXED96LHLK375701|PETER ST|mercury|8/16/2014
3PVOW2PATJ503064|KAMAHAO ST|chevrolet|5/28/2014
5SYYZ92UQDW562411|STAR RD|jaguar|5/26/2012
4WRZU14MOIJ338007|HOOLAULEA ST|porsche|1/28/2011
1DPSX64GBJP466018|10TH AVE|alfa-romero|10/28/2011
5PASE10YXYG226441|MEKIA ST|peugot|3/17/2015
5DLJR11YKFL862618|KUAKINI ST (NORTH)|mitsubishi|3/18/2015
2PRZB23MBJV701100|KUAKINI ST (NORTH)|plymouth|11/1/2014
1BTZK1YGZE46875|KUAKINI ST (NORTH)|saab|3/16/2013
4KQGR81LKKQ32462|JUDD ST (SOUTH)|peugot|7/5/2014
4UZOY95KFJQ633378|LIKINI ST|honda|4/22/2014
1SCPO52MLEO726912|KOKO HEAD AVE|plymouth|7/19/2012
4JSVE61QKBU643356|AALAPAPA DR|bmw|1/28/2012
5ARYD35URPO564212|HANA ST|alfa-romero|1/2/2016
5AEKX48WKXE214585|LIHOLIHO ST|mitsubishi|6/2/2013
2DSLV90YHDP904273|POIPU DR|volvo|2/2/2013
2EKYG93OCCX463131|NORTH RD|toyota|6/26/2012
5CRSN12SEPU848667|NORTH RD|isuzu|10/4/2017
2TYCZ80VEIH9926|NORTH RD|audi|3/15/2014
2WYPK19TELT437952|NORTH RD|renault|2/25/2017
3QPUA30GLHJ844003|RENTON RD|nissan|6/8/2017
3UKEW50FIGU449435|KULAKOA ST|volkswagen|10/24/2017
5BQXL54MXQG341133|PIIKEA ST|mazda|8/22/2015
4HABV90JNXU977454|KALANI ST|audi|8/19/2014
5WOBF48EWUL153043|AINA MOI PL|mitsubishi|3/30/2016
1GCFA50FPSZ132974|KEAKA DR|saab|7/14/2012
2NCLY22FAIE618744|MEKIA ST|renault|4/2/2012
1LODZ82DJVR603551|MAKAKILO DR|dodge|5/6/2014
3TXDV8DHYB896476|KOLOKIO PL|audi|4/13/2014
3YXQX49KURY28529|KOMAIA DR|audi|11/26/2015
5OPTK12BZVO690267|LALANI ST|toyota|7/25/2016
4OXDZ78WWYK533084|HIND IUKA DR|bmw|6/2/2016
2DJEO64MDPZ926260|STAR RD|chevrolet|8/25/2015
1LQAL35QURR183387|KEKUANONI ST|mercedes-benz|7/1/2014
3BZHU14ZOBG272949|PIIKOI ST|porsche|3/22/2014
1QFVH1GXAN414884|OLOMEA ST|isuzu|5/12/2013
3NKJM72HZMY421429|OLOMEA ST|nissan|1/17/2017
2CBBB48SYSQ50989|KAUPEA ST|alfa-romero|6/20/2017
2JNCA43UFKN232159|INOAOLE ST|audi|7/25/2014
2DXFW49CZVQ148862|WELA ST|mercedes-benz|4/26/2016
5GRPP21GSAH938185|KOAPAKA ST|mazda|8/30/2012
5XFDX5ZAHK41658|KAPIOLANI BLVD|renault|4/6/2012
5ZOPS84ZYAZ884342|PIIKOI ST|mazda|11/16/2014
5ASUF55HZYD831142|HAYDEN ST|volvo|2/2/2017
4NNPF88NIFK69675|CASTLE ST|honda|10/5/2016
4RZRV41BJAE887051|LILIHA ST|mercedes-benz|1/18/2016
4QKYU66SPWQ865877|HANA ST|mitsubishi|3/9/2012
3NRWR1NQAV521823|WINAM AVE|plymouth|8/30/2017
3GLIG29TZEU493426|WINAM AVE|chevrolet|5/25/2014
5EXZC40KDGV843719|HAALOHI ST|mitsubishi|11/5/2011
2YRQM47UMOO911463|KAM HWY|alfa-romero|9/22/2017
3YYKM38YAUE350638|KEWALO ST|isuzu|4/18/2012
5PMCN35DRQB578573|HAWAII ST (KAPALAMA)|porsche|3/11/2016
2ZBIW20WQMP184814|BOOTH RD|mitsubishi|10/16/2011
4QFZS62MEYD120099|PROSPECT ST|alfa-romero|1/29/2015
3CMWI65XDQB425127|PROSPECT ST|chevrolet|10/25/2014
2YXTN64ULJK364127|PROSPECT ST|volvo|10/7/2016
4ZCWB37IQSZ628943|PROSPECT ST|porsche|10/9/2015
5TWPA20EDCO352982|PROSPECT ST|mercury|11/1/2012
2VUPF83ZUYR65702|PROSPECT ST|nissan|4/17/2017
5AFTX42MORK963421|AUWAI ST|chevrolet|12/14/2013
4NUOV31NWLC778409|AUWAI ST|renault|11/13/2011
4NXWB36ZXHE962852|MEYERS ST|bmw|7/21/2011
2JEGB73GTSK398704|MEYERS ST|isuzu|4/22/2015
5CCEP23MCMZ923204|KAWELOKA ST|chevrolet|12/13/2015
2VJAO20NFHS108814|MEYERS ST|mitsubishi|11/21/2015
2LZWR55BRLF343967|NONA LP|plymouth|11/27/2014
2JXYX15YPPX892408|BOOTH RD|volvo|8/1/2015
4MMDS28DKOF84303|KIMO ST|audi|10/13/2012
1VABB21TUER35831|KAULUWELA PL|mercedes-benz|1/22/2011
2GTJM50AHNX487365|WAILEPO ST|mazda|1/18/2014
2BWDJ96LMRP386908|KAULUWELA PL|mercury|1/7/2013
2MDMB5ETRI976822|LILIHA PL|chevrolet|3/13/2014
4OKRM12LYFU365901|KEKUANONI ST|saab|11/20/2015
4MHZW98HAOB36019|KEKUANONI ST|dodge|6/29/2015
3LDOZ14RDLN622592|KEKUANONI ST|jaguar|3/3/2016
2BQAI90DYLN296253|KEKUANONI ST|isuzu|12/8/2013
5VCUM32IFZM25674|KEKUANONI ST|nissan|7/20/2016
1QTII95IEPA177109|KAPALAMA AVE|saab|11/16/2015
3YSUP21TBQX828680|KAPALAMA AVE|dodge|3/14/2011
3ZZDD91SPDE816358|KAM HWY|subaru|5/7/2011
5EXGN57XWXH786416|MAKUAHINE ST|volvo|8/5/2012
3JYQW89OHFR91269|MEYERS ST|renault|12/13/2017
2WJNF14FFMH815237|KIONAOLE RD|isuzu|6/9/2013
3QXEH74UNCV922230|PALAILAI ST|renault|3/6/2016
3XWGX12OOVZ566284|CASTLE ST|bmw|4/9/2015
5FVGH22BSEB68990|EKEKELA PL|volkswagen|3/25/2011
1FPLO58YWLK442495|A ST|saab|11/10/2014
4RUFO4SZVJ276615|PAKEKE ST|isuzu|6/3/2017
4SZTF43AHNB783110|MOKILA ST|toyota|5/29/2017
5VFTI26VNMQ276192|HIAPO ST|porsche|8/6/2014
2IQPN78LOVX282043|KALUAMOI PL|alfa-romero|4/10/2012
2OMMC74NWIJ52242|KILOHI ST|volvo|8/20/2015
3UXPH67ZWPB881447|FRANCIS ST|chevrolet|4/10/2015
2ZUBD13VFOI131202|ONEAWA ST|alfa-romero|5/14/2013
2UMTO90CQBI749847|MIKANA ST|saab|10/18/2011
4XHCE29RKLF893144|MIKANA ST|porsche|9/17/2011
5NCXY50KMFJ626533|MOHIHI ST|mazda|7/28/2017
4YBRF42UYEE336183|MOHIHI ST|porsche|2/22/2012
4LWQK94UFHR729920|MANUAIHUE ST|mitsubishi|11/16/2011
2ZYPK5FQKB702237|MANUAIHUE ST|audi|2/22/2012
2YWAK85TQHI614069|KIMOKEO ST|subaru|8/10/2014
4IZHA34LHSG498039|NAIO ST|renault|11/18/2015
4GATB55PPVY772400|NAIO ST|peugot|5/4/2014
5XMIQ47UDON80714|BEAUMONT WOODS PL|saab|10/20/2015
2DIGE8GJME749185|KAHAKAI DR|mercedes-benz|9/16/2015
4ZXXQ81ALQJ578674|LILIHA ST|plymouth|2/7/2016
2NIBW38MVWP120734|LILIHA PL|saab|4/22/2011
5FUBZ71YTLA539110|POULI RD|bmw|4/20/2014
4LUGR79DOJU763815|PUUNUI AVE|audi|11/28/2016
3UHSW20HFRV549823|LINCOLN AVE|chevrolet|11/17/2011
4YFJI40CUYL311175|LINCOLN AVE|mercedes-benz|3/21/2011
1AIIL3PGCU316964|UPAI PL|nissan|11/25/2017
5DYEU94YEDU880215|UPAI PL|plymouth|8/21/2012
4RMSM49HLMQ886268|WINAM AVE|nissan|12/11/2016
4GFQM9QZAN584695|HOALA ST|dodge|5/11/2012
1ZUAP40GFTV558972|LUNALILO ST|mitsubishi|12/3/2011
2HWCR78BEHH347566|LUNALILO ST|volvo|2/13/2016
3OVTR69AJVL556398|NONA LP|alfa-romero|2/17/2017
3EDZI37IXFB145265|PROSPECT ST|honda|9/5/2011
4PRXM86WQZF957092|PROSPECT ST|mercedes-benz|8/30/2015
5JCMF70GILP298184|PUUAHI ST|isuzu|1/17/2011
5JIIK49QDYX244936|LIME ST|saab|3/1/2016
3QMBZ48KEVV760076|KUAHAKA ST|renault|5/18/2013
3TUIX47MICI391350|ALA ALII ST|chevrolet|6/20/2014
3GGBF68RTZR223695|ALA ALII ST|porsche|10/9/2012
2GGJA46IYQJ37731|ALA ALII ST|chevrolet|5/22/2015
4AHMW60YYEC960571|ALA ALII ST|porsche|12/5/2016
2SKDZ62FSZG576709|ALA ALII ST|plymouth|7/9/2013
3ICYP84WGSJ603081|KAINALU DR (NORTH)|volvo|9/12/2014
5HDVA67BNNZ440549|KAUPEA ST|nissan|6/17/2015
2UGKX34RKDD143085|KAUPEA ST|volkswagen|5/15/2014
5PUZQ63FYGS175593|KAUPEA ST|dodge|5/30/2015
4UFYS41XRCZ782567|KAUPEA ST|porsche|12/31/2014
1RYEB39WCKN698027|KAUPEA ST|porsche|1/21/2017
3OLPL59KJBT349182|KAUPEA ST|dodge|9/28/2014
4OXFO90PWZQ862201|KAUPEA ST|mazda|9/20/2014
1RAJF86IRHI653185|KAMANI ST|saab|8/12/2014
1BBQR16YURQ22161|KAUPEA ST|volkswagen|8/23/2015
3PFCU4JXUA954733|PUAINAKO ST|toyota|6/22/2011
5GKRI93TUSN867037|KOMAIA DR|porsche|3/3/2017
3SDVJ16ZNBV163894|PUAINAKO ST|bmw|12/4/2017
3RVFK60AQQT861667|PUAINAKO ST|isuzu|7/23/2011
3WSZO5HOQY323747|KANEHILI ST|peugot|7/6/2011
4GPVB9YJJF606602|KANEHILI ST|mercury|7/13/2016
3UFEN10SLLZ467352|HOOHONUA ST|alfa-romero|5/19/2014
2XHAA92XGQJ893896|NOELANI ST|subaru|5/17/2012
3KBBF61YAGV394524|NOELANI ST|peugot|12/30/2013
5VMKA10WKIT327592|KAMAAHA AVE|isuzu|4/30/2016
4OBQJ90CBGC147454|KAMAAHA AVE|isuzu|1/3/2012
4PHNY30TEXN482945|ULUNE ST|mercury|11/16/2017
5SQOH35HLDJ925603|KAIPAPAU LP|dodge|8/6/2013
4AFYC47JBQC619524|KANEOHE BAY DR|mazda|6/10/2011
4GRZQ76BYJR550093|KOALELE ST|dodge|6/19/2011
2FVTY18EKGG773219|AHA AINA PL|peugot|3/21/2014
3QLJK27AYUC301234|AHA AINA PL|renault|2/5/2012
5IAWJ30WELW420415|ALA LEHUA|porsche|6/12/2016
4WMUY58KLFR546570|AHA AINA PL|peugot|7/3/2013
3RRGV94HQWX795590|KILA WAY|nissan|11/15/2017
5DOQZ41ALPI582290|HILLCREST ST|saab|1/10/2014
4YEJK96AHYV514663|MAKAKILO DR|bmw|4/27/2011
4SEWR18TZZH395346|KAHUHIPA ST|toyota|3/6/2017
1GWBD20JCVV180048|KOAUKA LP|renault|10/16/2015
4LNBU72SUGX801403|LEIHOKU ST|nissan|8/10/2017
2RKLI31EWLN818608|WAIKALUALOKO LP|saab|6/13/2012
1NKND62RUSM159271|HUNAKAI ST|jaguar|7/6/2015
2JPKA15IPQL578142|PAMOHO PL|volvo|10/23/2013
1OSJW72IFXZ911521|NAHIKU ST|alfa-romero|11/25/2013
3RTRV65CDAF140505|LUANA PL|isuzu|8/1/2013
4TSYU41VUCZ571021|LUANA PL|volvo|3/15/2013
5MDBU21MDSQ655318|KAWAIPAPA ST|isuzu|8/24/2015
3ISLM43BZYT712151|KAWAIPAPA ST|alfa-romero|4/25/2015
1BUGD3NNGS941181|KAIKO ST|subaru|6/24/2011
2CHAX54LESW915754|KAKUHIHEWA PL|volvo|8/29/2016
3COAW4NPQW437190|ISENBERG ST|dodge|7/6/2012
5PVIB90TCTI245475|KUAHAKA ST|plymouth|9/28/2015
3OGVS17HANK976183|PUPUHI ST|peugot|6/29/2017
4OTCA62CRAS393079|PENAKII PL|dodge|8/27/2015
1QXEW17KJQM535568|KIHAPAI ST|alfa-romero|11/6/2014
3ALSE28YTEX877473|ALA AKAU ST|plymouth|2/1/2011
4TIEH3LXND777281|JENNIE ST|bmw|5/26/2011
2GRJK93FPIY416897|KAMOKU ST|volkswagen|5/22/2012
3TMWB25SFIO835023|PUPUKEA RD|plymouth|8/7/2011
4HLHV72WNUB406235|HOAWA ST|toyota|7/7/2012
1ZJVD45LTKP539831|HOAWA ST|porsche|10/28/2014
5EXAA28ICIW825169|HUI IWA ST|jaguar|11/11/2012
5PPMY39WHGQ325290|HUI IWA ST|alfa-romero|12/5/2013
3OLSB96RWVT456181|KALEO PL|jaguar|12/11/2014
3TTNK22JPJV175992|UNIVERSITY AVE|bmw|10/13/2011
5JHEJ71ZMAV478004|UNIVERSITY AVE|isuzu|12/17/2015
5UOYD88YSMA730860|KAM HWY|audi|4/19/2016
1LOOW18MCRL235959|POKI ST|mitsubishi|3/19/2012
2YIYP32LYOD725236|HAWAII KAI DR|nissan|9/28/2014
1XHDG13HGOG189743|KEALIIAHONUI ST|saab|8/12/2012
5HPPQ12NYXE374981|KAMAKAHELEI ST|honda|2/25/2011
5TQYV29PXLH174894|10TH AVE|audi|12/29/2017
4MBET14HHNX462083|KEAKA DR|honda|2/19/2013
3ASHE8IXFL710242|KUPUNA LP|mazda|12/15/2011
1TSYO85GJAH658401|GULICK AVE|isuzu|1/23/2017
3PSSU74FRHH604348|KAIKO ST|mercedes-benz|1/8/2012
4EODQ48PYPK591255|KAMANI ST|subaru|7/27/2011
1LTNB49NWNS141527|KOAHA PL|alfa-romero|6/24/2016
4NOPK45AQMS162145|PAKUI ST|nissan|6/1/2011
3SUYU35GFTV20563|KOAHA PL|plymouth|2/15/2014
5XKVD69SZHM240502|PUOWAINA DR|mitsubishi|5/13/2014
3RXFR95NDPZ606900|PUOWAINA DR|isuzu|7/25/2013
4FRXD81YVTE322442|PUOWAINA DR|volvo|2/13/2013
1RONA54DTTQ262055|KAUMUALII ST|chevrolet|10/13/2012
4FVLB13VPLX898085|KAUMUALII ST|mazda|12/14/2016
4SCXL89PGMA508515|AHONUI ST|bmw|6/25/2016
2XXDK94JKXT693890|MAUNALEI AVE|volkswagen|8/10/2012
5QKLJ14VNKG741768|HOLUA PL|mercedes-benz|10/17/2011
5FLGU19CZYK471563|HOLUA PL|dodge|8/28/2016
1NASX84RGOJ93851|HOLUA PL|subaru|10/14/2017
1NPJF35WPVH267758|HOLUA PL|volkswagen|8/18/2013
5POHU12BJNW282360|HOLUA PL|mercedes-benz|12/7/2016
1UZFU3CKRP411314|HOLUA PL|mercedes-benz|7/31/2016
2SWPG37YYAS53552|HOLUA PL|volkswagen|4/10/2014
5QBFW41SWBL791903|KUPAU ST|volvo|10/14/2013
3YADG56ZHXF944912|LUSITANA ST|bmw|8/4/2017
3TZAR23LSCM735649|ALA AOLANI PL|peugot|7/31/2012
1DNZU25YYVJ883296|KOLOLIO ST|jaguar|11/14/2016
1VENR55JJVR931588|KOLOLIO ST|volvo|2/12/2013
2CFIV81RRJY442573|HAHANA ST|peugot|8/17/2015
3TOKH17XLGM600655|WANAAO RD|isuzu|11/28/2014
4OADY22RZCC2697|KALAUIPO ST|dodge|6/6/2014
1AXWX77HPNR2679|LAUPAPA ST|honda|7/28/2011
4KKEB42JGVC162374|PUU PANINI AVE|toyota|11/12/2016
1NCTY34UCSG931940|LAUPAPA ST|mercury|7/5/2016
2CEDC91BBHV142711|KALIHI ST|nissan|7/10/2012
2DKTG18MHVS189610|PUPUKEA RD|mercury|8/8/2013
1BJGK63QXGZ614550|AHUA ST|subaru|7/15/2016
2MHSA61EMWW824251|AHUA ST|bmw|8/5/2016
2QOUM12AKCH922191|AHUA ST|honda|10/30/2013
5VBHM2YSGQ338772|AHUA ST|renault|7/10/2017
1JRXP38AGJI351056|AHUA ST|bmw|12/3/2012
4FKVV83RDYV292299|AHUA ST|peugot|12/23/2011
5LZAQ26UCUG575384|IHO PL|peugot|6/23/2015
2TRMS41WWUR179391|NAMAHOE ST|mazda|2/26/2016
4MOLB42GJJL970710|DOLE ST|audi|4/4/2012
3IHAH63YVHH760096|DOLE ST|mitsubishi|9/29/2017
2SEPX12TAZF874418|10TH AVE|bmw|2/23/2012
2ELOV34WTET329988|EDNA ST|mercury|12/29/2015
5OYPR57MWOJ12738|EDNA ST|plymouth|4/21/2013
1NQSM82VRUT826584|KUALII ST|toyota|5/9/2014
3EKDQ45ZTPS831985|PUOWAINA DR|volvo|7/5/2015
4JFZQ66SUNY982830|KEKUANONI ST|isuzu|7/24/2013
4UKIO90OMEB826336|KEKUANONI ST|volvo|12/16/2014
1QXPD29XWVN436013|KEKUANONI ST|mercury|12/27/2016
2BZSF64YDEM960266|KEKUANONI ST|plymouth|3/22/2012
1DRFX5DSMT441900|KEKUANONI ST|honda|5/30/2012
3GJKQ31AXIV743004|KEKUANONI ST|alfa-romero|11/12/2016
1HOBL0HBIQ770455|WOODLAWN DR|peugot|3/3/2016
3ZIJA94XRUV202784|KEAOOPUA ST|volvo|6/23/2017
1TDSY91XTTK619393|KEAOOPUA ST|bmw|6/10/2017
5WZSZ85SNBW267418|LIKINI ST|bmw|9/12/2012
2BIOW24VREM81415|HONOHINA ST|mercury|5/12/2014
5UVRG21XMMD518470|NOEAU ST|audi|10/16/2013
3PFWV51GATV508390|KOHOU ST|peugot|3/22/2017
3ISMJ87VGAR546249|HAHAIONE ST|alfa-romero|12/9/2017
4WVBY31VTFC963523|AMIO ST|toyota|12/29/2012
5JCEH69URWD392516|AMIO ST|jaguar|4/5/2014
4ZLBQ54CIAA390800|AMIO ST|mitsubishi|4/12/2014
4DDFS87IFNK550410|ISENBERG ST|bmw|6/7/2015
5SBKS97GUEC827466|KAIKO ST|peugot|11/17/2013
5ETSV17VHLA3483|7TH AVE|dodge|1/27/2014
3TCAH7KWRH847265|JENNIE ST|mercedes-benz|3/15/2013
5MPLK76DGBL22720|MAKULE RD|bmw|10/30/2013
4KYBR27XNJF970791|LILIHA PL|volkswagen|4/7/2011
3XPVZ31MFNW480332|LILIHA PL|mazda|9/16/2011
2NJNE68RPLW887904|BECKLEY ST|renault|12/16/2015
5NSRV98NRBB753667|BECKLEY ST|alfa-romero|2/9/2012
2WPSS99WHZE485961|ULUPAINA ST|isuzu|2/15/2016
5GATG5CCDR764448|AMIO ST|nissan|7/12/2012
3TCGS75UMCH87728|ILIKAA PL|audi|11/6/2017
1OMHC82VHLG463771|ANAPUNI ST|renault|6/9/2011
2VCHM19SIYV539178|POKI ST|mercury|11/17/2011
3TYGM19ZHQB657157|POKI ST|chevrolet|10/26/2017
1XLUR6KQRV357754|POKI ST|bmw|4/10/2012
2YEYZ4TDIZ572042|PUAINAKO ST|audi|5/27/2017
2RNGM78LKIX171440|PUKAUA ST|subaru|11/13/2011
5GUCH41LIKR392537|14TH AVE|mazda|8/14/2014
2RBOW50YZRU283267|HALAWA DR|dodge|11/17/2017
1ZPJH97IRVS187013|14TH AVE|subaru|4/15/2015
1FLJP18FFRP373760|ROOKE AVE|peugot|2/10/2011
2VKIF27VDCM466132|LII IPO ST|mitsubishi|9/28/2014
1BLWM47BZKL288382|MANINIHOLO ST|mazda|5/15/2011
5ICQO81LLOH704203|SADDLE CITY RD|audi|2/14/2017
1XIBF92BUPE971739|PATY DR|chevrolet|5/23/2014
3XFDW48NDNK879195|MALUNIU AVE|porsche|10/28/2015
3RBGC50LDYE566959|PAPALANI ST|chevrolet|7/25/2016
1QZPF38LVXN440019|HAPAPA ST|subaru|3/9/2016
1XHDO23ECTC639848|LILIHA ST|volvo|4/3/2016
3JNXH10WQIG15980|LILIHA ST|jaguar|3/21/2016
2GKIF92WQOH72065|PUKELE AVE|porsche|4/8/2017
2SBAB4GMIR346998|ALAHOI ST|dodge|6/27/2014
4PQNL66NHRO657622|KAHUAMO ST|peugot|11/14/2015
5TPWB11FISL596065|ALA AOLANI PL|bmw|7/25/2011
1KOMA69AZQI633282|PILIUKA PL|jaguar|6/6/2017
3SHZW84DRZO12414|KALALOA ST|mazda|4/12/2011
1RVAJ9XNZX493074|NOLA ST|isuzu|4/22/2013
4UDTL72OHMF757314|NOLA ST|peugot|9/26/2017
4GKOP0KLGS768013|NOLA ST|toyota|9/11/2014
1VEYR88OQLU606261|NOLA ST|saab|4/13/2016
1DFBM43LQWD293933|MANAKUKE ST|nissan|4/8/2014
4JRSZ61RVWV512249|9TH AVE|subaru|4/22/2011
2XLRK76LTCI45430|KAM HWY|alfa-romero|9/29/2011
4BHXG77OUVB635064|AUWAIOLIMU ST|nissan|8/23/2014
5KNAT7ENGD963906|AUWAIOLIMU ST|volkswagen|8/18/2017
3MIAI26RLHR889398|AUWAIOLIMU ST|peugot|1/1/2017
2DBOE5LXUC292085|AUWAIOLIMU ST|subaru|10/28/2011
4OHEN47ITBK815672|AUWAIOLIMU ST|honda|7/19/2014
1VDGA65WKKC176477|KOHOU ST|isuzu|7/8/2012
1MRKI85DMYD485454|AALAPAPA DR|saab|10/27/2017
1DOYT78YCMQ817628|MAGAZINE ST|jaguar|1/26/2017
4ITLO46ABRG278028|9TH AVE|toyota|5/19/2016
3PVXX32LYCB724180|AHUI NANI PL|volvo|5/20/2014
1MWMQ8MQTL42612|KAPEHE ST|subaru|12/29/2016
2QJNQ37TXHG907282|8TH AVE|peugot|4/27/2015
4AEWU58MVEF922550|8TH AVE|nissan|2/20/2017
5UEFR37UTAV665033|KAPEHE ST|toyota|9/15/2013
5HKJT21AYPE947347|8TH AVE|isuzu|1/31/2014
3ZOLB86AQBO58024|PAKUI ST|toyota|6/10/2017
2NYUE28LBEQ305601|WAIAWA RD|isuzu|6/11/2013
3QJMZ18UUXW459688|KEWALO ST|plymouth|2/22/2013
1TOWE12AJHO116118|KEWALO ST|alfa-romero|10/9/2017
3VMRA46PXAS640786|ONIPAA ST|volvo|11/8/2013
2ZKYA41KRHB840932|PROSPECT ST|bmw|11/28/2017
5RNRK76JYWC280676|PROSPECT ST|chevrolet|4/6/2013
5XSLH88UMCU633853|PROSPECT ST|bmw|5/12/2014
1TPYT10FQRA885202|KEANU ST|mercedes-benz|7/28/2013
3ANYO83KBHX389739|EAMES ST|mazda|4/25/2011
5VPQC8UWPD785261|AUHAU PL|porsche|5/22/2011
1DJID85UBTB136682|AULII ST|peugot|12/30/2011
3PRLU42ONKI861423|21ST AVE|mazda|2/5/2015
4LHZE25PQZK566470|AHA AINA PL|alfa-romero|2/19/2012
2ACCM39LIIU39047|PUPUKEA RD|volvo|12/5/2017
4HBCN16LJBK634129|ALANI DR|chevrolet|8/5/2012
4WEFR76EXTS63895|HONOHINA ST|honda|1/8/2012
5HJTQ52QRBV380908|KAHULUI ST|isuzu|10/23/2017
2WFIY58PQFE164844|ILIWAI DR|chevrolet|12/31/2013
1AEVB62EXFZ776945|AALAPAPA DR|alfa-romero|9/23/2014
